Residuo,Classe,Tipo,Ecoponto,IlhaEcologica,LixeiraSubterranea,RetornaMachine,AssociacaodeCatadores,Miniecoponto,CentrodeRecondicionamentoTecnologicoCITINOVA,Reciclo,Tiratreco,ColetaDomiciliar,NaRua,EscolasMunicipaisPEVs,ColetadePilhas,Ecoenel,DescarteMedicamentos,LogisticaReversa
Absorventes femininos,Comum,Orgânico,0,0,0,0,0,0,0,0,0,1,0,0,0,0,0,0
Acetonas,Especial,Tóxico,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,1
"Aço - Embalagens de Alimentos e Bebidas de até 2,5L com exceção de Lácteos",Reciclável,Metal,1,1,0,1,1,1,0,1,0,0,0,1,0,1,0,0
"Aluminio - Embalagens de Bebidas de até 2,5L com exceção de Lácteos",Reciclável,Metal,1,1,0,1,1,1,0,1,0,0,0,1,0,1,0,0
Alumínio Latinha,Reciclável,Metal,1,1,0,0,1,1,0,1,0,0,0,1,0,1,0,0
Alumínio Panela,Reciclável,Metal,1,1,0,0,1,1,0,1,0,0,0,1,0,1,0,0
Alumínio Perfil,Reciclável,Metal,1,1,0,0,1,1,0,1,0,0,0,1,0,1,0,0
Amianto,Especial,Tóxico,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,1
Antenas de TV,Especial,Misto,1,0,0,0,0,1,0,0,0,0,0,0,0,0,0,1
Antenas parabólicas,Especial,Misto,1,0,0,0,0,1,0,0,0,0,0,0,0,0,0,1
Aparelhos de ar condicionado,Especial,Volumoso,1,1,0,0,1,1,0,1,1,0,0,0,0,0,0,1
Aparelhos de barbear descartáveis,Comum,Misto,1,0,0,0,0,1,0,0,0,1,0,0,0,0,0,1
Aparelhos de barbear elétricos,Comum,Eletrônicos,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,1
Aparelhos de telefone,Reciclável,Eletrônicos,0,1,0,0,1,0,1,1,0,0,0,0,0,0,0,1
Árvores,Comum,Orgânico/Poda,1,0,0,0,0,1,0,0,0,0,0,0,0,0,0,0
Aspiradores de pó,Comum,Misto,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0
Baldes,Comum,Plástico,1,1,0,0,1,1,0,1,0,0,0,1,0,1,0,0
Bandejas de plástico,Comum,Plástico,1,1,0,0,1,1,0,1,0,0,0,1,0,1,0,0
Baterias Automotivas,Reciclável,Tóxico,0,0,0,0,0,1,0,0,0,0,0,0,0,0,0,0
Baterias de celular,Reciclável,Tóxico,0,0,0,0,0,1,1,0,0,0,0,0,0,0,0,0
Baterias de eletrônicos - outras,Reciclável,Eletrônicos,0,0,0,0,0,0,1,0,0,0,0,0,0,0,0,1
Bicicletas,Reciclável,Volumoso,1,0,0,0,0,1,0,0,1,0,0,0,0,0,0,0
Bijouterias,Comum,Misto,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0
Bolsas,Comum,Misto,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0
Bombonas,Comum,Plástico,1,1,0,0,1,1,0,1,0,0,0,1,0,1,0,0
Brinquedos e jogos,Comum,Misto,0,0,1,0,0,0,0,0,0,0,0,0,0,0,0,0
Cadernos,Reciclável,Papel,1,1,0,0,1,1,0,1,0,0,0,1,0,1,0,0
Cafeteiras,Comum,Misto,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0
Caixa de Ovo,Reciclável,Plástico,1,1,0,0,1,1,0,1,0,0,0,1,0,1,0,0
Caixas de papelão,Reciclável,Papel,1,1,0,0,1,1,0,1,0,0,0,1,0,1,0,0
Caixas de som,Comum,Misto,0,0,0,0,0,0,1,0,0,0,0,0,0,0,0,0
Calçados,Reciclável,Têxtil,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0
Calçados esportivos - tênis,Reciclável,Têxtil,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0
Calculadoras,Reciclável,Eletrônicos,0,1,0,0,1,0,1,1,0,0,0,0,0,0,0,1
"Cama, mesa e banho",Comum,Têxtil,0,0,1,0,0,0,0,0,0,0,0,0,0,0,0,0
Câmeras digitais,Reciclável,Eletrônicos,0,1,0,0,1,0,1,1,0,0,0,0,0,0,0,1
Canudo de plástico,Comum,Plástico,1,1,1,0,1,1,0,1,0,1,0,1,0,1,0,0
Cápsulas de café,Comum,Misto,0,0,1,0,0,0,0,0,0,0,0,0,0,0,0,0
Carregadores de celular,Reciclável,Eletrônicos,0,1,0,0,1,0,1,1,0,0,0,0,0,0,0,1
Carregadores de eletrônicos - outros,Reciclável,Eletrônicos,0,1,0,0,1,0,1,1,0,0,0,0,0,0,0,1
Cartões de crédito e débito,Comum,Misto,0,0,1,0,0,0,0,0,0,0,0,0,0,0,0,0
Cartuchos de impressora,Reciclável,Eletrônicos,0,0,0,0,0,0,1,0,0,0,0,0,0,0,0,1
CDs/DVDs,Reciclável,Eletrônicos,0,0,1,0,0,0,1,0,0,0,0,0,0,0,0,1
Celulares,Reciclável,Eletrônicos,0,1,0,0,1,0,1,1,0,0,0,0,0,0,0,1
Celulares - acessórios,Reciclável,Eletrônicos,0,1,0,0,1,0,1,1,0,0,0,0,0,0,0,1
Cerâmicas,Comum,Entulho,0,0,1,0,0,0,0,0,1,0,0,0,0,0,0,0
Chapas de Raio-X,Especial,Tóxico,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,1
Chapas de Vidro Revestidas,Especial,Misto,1,0,0,0,0,1,0,0,0,0,0,0,0,0,0,1
Chapas de Vidro Simples,Especial,Misto,1,0,0,0,0,1,0,0,0,0,0,0,0,0,0,1
Chinelo,Comum,Borracha (Misto),1,0,1,0,0,1,0,0,0,0,0,0,0,0,0,1
