Nome,Ponto_de_Coleta,Endereco,Bairro,Bonificacao,Horario_de_funcionamento,x,y
Ecoponto Vila Velha,Ecoponto,Rua Jasmin s/n (Por trás do Liceu),Vila Velha,Sim,"08:00–12:00, 14:00–17:00",-38.6004496,-3.711365194
Ecoponto Vila Velha II,Ecoponto,Av. Major Assis x Rua Cecília,Vila Velha,Sim,"08:00–12:00, 14:00–17:00",-38.6057667,-3.719281416
Ecoponto Vila Do Mar,Ecoponto,Rua Lídia Petri Gonçalves (em frente ao numero 1140),Barra do Ceará,Sim,"08:00–12:00, 14:00–17:00",-38.58240062,-3.695408694
Ecoponto Barra Do Ceará,Ecoponto,Rua Graça Aranha x Tv. 14 de Maio,Barra do Ceará,Sim,"08:00–12:00, 14:00–17:00",-38.57322902,-3.708118701
Ecoponto Barra Do Ceará II,Ecoponto,Av. Francisco Sá x Rua Helenice Paiva Menezes,Barra do Ceará,Sim,"08:00–12:00, 14:00–17:00",-38.58596856,-3.706662038
Ecoponto Cristo Redentor,Ecoponto,Av Presidente Castelo Branco em frente ao número 3833,Cristo redentor,Sim,"08:00–12:00, 14:00–17:00",-38.5670514,-3.708639815
Ecoponto Pirambu II,Ecoponto,Rua Santa Rosa (Prox. Nº80),Pirambu,Sim,"08:00–12:00, 14:00–17:00",-38.55282426,-3.710480204
Ecoponto Pirambu,Ecoponto,Rua Costa Matos x Vila do Mar,Pirambu,Sim,"08:00–12:00, 14:00–17:00",-38.54536774,-3.713465287
Ecoponto  Leste Oeste,Ecoponto,Av. Leste Oeste (PROX. Nº 2958),Pirambu,Sim,"08:00–12:00, 14:00–17:00",-38.55536583,-3.71212195
Ecoponto Carlito Pamplona,Ecoponto,Rua Dom Hélio Campos x Av. Tenente Lisboa,Carlito Pamplona,Sim,"08:00–12:00, 14:00–17:00",-38.55629835,-3.71769404
Ecoponto Jacarecanga,Ecoponto,Av. Jose Jatahy com Av. Sargento Herminio,Jacarecanga,Sim,"08:00–12:00, 14:00–17:00",-38.54602756,-3.724484836
Ecoponto Floresta,Ecoponto,Rua General Mário Hermes com Rua Adolfo Bezerra de Menezes,Floresta,Sim,"08:00–12:00, 14:00–17:00",-38.57675368,-3.714475141
Ecoponto Álvaro Weyne,Ecoponto,"Rua José Acioli, esquina com Av. Tenente Lisboa",Álvaro Weyne,Sim,"08:00–12:00, 14:00–17:00",-38.56872042,-3.720825433
Ecoponto Lagoa Do Urubu I,Ecoponto,Rua Maria Souza com Rua Valmir,Floresta,Sim,"08:00–12:00, 14:00–17:00",-38.57760296,-3.719425763
Ecoponto Lagoa Do Urubu II,Ecoponto,Rua Frei Odilon com Rua 01,Floresta,Sim,"08:00–12:00, 14:00–17:00",-38.5751155,-3.724072235
Ecoponto Verdes Mares,Ecoponto,"Rua Júlio Azevedo, 688",Papicu,Sim,"08:00–12:00, 14:00–17:00",-38.47870048,-3.736922082
Ecoponto Joaquim Tavora,Ecoponto,Praça Joaquim Tavora,Aldeota,Sim,"08:00–12:00, 14:00–17:00",-38.51658933,-3.752306782
Ecoponto Praça Das Flores,Ecoponto,Rua Torres Câmara x Avenida Des. Moreira,Aldeota,Sim,"08:00–12:00, 14:00–17:00",-38.49877566,-3.738488322
Ecoponto Varjota,Ecoponto,Av. Antônio Justa x Rua Meruoca,Varjota,Sim,"08:00–12:00, 14:00–17:00",-38.48314828,-3.731581648
Ecoponto Parque Rio Branco,Ecoponto,Av. Visconde do Rio Branco s/n,Joaquim Távora,Sim,"08:00–12:00, 14:00–17:00",-38.52077218,-3.751644538
Ecoponto Vicente Pinzon,Ecoponto,Rua Veneza x Rua Josias Paulo de Sousa,Vicente Pinzon,Sim,"08:00–12:00, 14:00–17:00",-38.47204043,-3.728680412
Ecoponto Praia Do Futuro,Ecoponto,Rua Coronel José Aurélio Câmara x Av. Dioguinho,Vicente Pinzon,Sim,"08:00–12:00, 14:00–17:00",-38.45945227,-3.730755537
Ecoponto Campo Do América,Ecoponto,Rua José Vilar x Rua Edgar Damasceno,Meireles,Sim,"08:00–12:00, 14:00–17:00",-38.50303321,-3.730919097
Ecoponto Luiza Tavora,Ecoponto,"Rua Costa Barros, 1567 ",Aldeota,Sim,"08:00–12:00, 14:00–17:00",-38.50960203,-3.731105107
Ecoponto São Gerardo,Ecoponto,Rua Dr. Hélio Viana x Av. Projetada (Canal),São Gerardo,Sim,"08:00–12:00, 14:00–17:00",-38.56059205,-3.732137699
